claim_id,quantity,value,uncertainty,n,unit,source_path,source_locator,status
cover-random-policy-audits.3670,per_slice/row407::n_unguided,0,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[407].n_unguided,SOLID
cover-random-policy-audits.3671,per_slice/row407::anat_cells,63,,,count,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[407].anat_cells,SOLID
cover-random-policy-audits.3672,per_slice/row407::union,115,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[407].union,SOLID
cover-random-policy-audits.3673,per_slice/row408::idx,83980,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[408].idx,SOLID
cover-random-policy-audits.3674,per_slice/row408::hidden_pct,83.67184600437747,,,percent,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[408].hidden_pct,SOLID
cover-random-policy-audits.3675,per_slice/row408::visible_pct,16.32815399562253,,,percent,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[408].visible_pct,SOLID
cover-random-policy-audits.3676,per_slice/row408::n_cover,2,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[408].n_cover,SOLID
cover-random-policy-audits.3677,per_slice/row408::n_random,2,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[408].n_random,SOLID
cover-random-policy-audits.3678,per_slice/row408::n_transition,0,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[408].n_transition,SOLID
cover-random-policy-audits.3679,per_slice/row408::n_unguided,0,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[408].n_unguided,SOLID
cover-random-policy-audits.3680,per_slice/row408::anat_cells,47,,,count,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[408].anat_cells,SOLID
cover-random-policy-audits.3681,per_slice/row408::union,107,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[408].union,SOLID
cover-random-policy-audits.3682,per_slice/row409::idx,83980,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[409].idx,SOLID
